quarter,year,d,ffr,pcetrimq,date,pcgdp,gdp_growth
1,1979,01jan1979,10.073222,7.5666666,1979-01-01,28699,-.055720005
2,1979,01apr1979,10.181978,7.6066666,1979-04-01,28659,-.13937768
3,1979,01jul1979,10.940108,8.4099998,1979-07-01,28778,.41522732
4,1979,01oct1979,13.580217,8.5200005,1979-10-01,28763,-.052123148
1,1980,01jan1980,15.065274,9.7766666,1980-01-01,28775,.041720267
2,1980,01apr1980,12.668901,8.083333,1980-04-01,28113,-2.3006082
3,1980,01jul1980,9.8231525,8.2200003,1980-07-01,27987,-.44819123
4,1980,01oct1980,15.852826,8.4333334,1980-10-01,28428,1.5757316
1,1981,01jan1981,16.595556,8.8533335,1981-01-01,28957,1.8608414
2,1981,01apr1981,17.786922,6.7333331,1981-04-01,28681,-.9531374
3,1981,01jul1981,17.594347,7.1999998,1981-07-01,28931,.87165719
4,1981,01oct1981,13.588369,5.7633333,1981-10-01,28519,-1.424078
1,1982,01jan1982,14.207444,5.0599999,1982-01-01,27982,-1.8829552
2,1982,01apr1982,14.514175,4.9233332,1982-04-01,28073,.32520905
3,1982,01jul1982,11.012717,4.8133335,1982-07-01,27900,-.61625051
4,1982,01oct1982,9.2839127,3.6900001,1982-10-01,27859,-.1469534
1,1983,01jan1983,8.6575556,3.9733334,1983-01-01,28167,1.1055673
2,1983,01apr1983,8.8027477,3.8466668,1983-04-01,28750,2.069798
3,1983,01jul1983,9.4581518,3.7233334,1983-07-01,29241,1.7078261
4,1983,01oct1983,9.430109,3.04,1983-10-01,29774,1.8227831
1,1984,01jan1984,9.688571,4.5733333,1984-01-01,30307,1.7901524
2,1984,01apr1984,10.554726,3.5133333,1984-04-01,30777,1.5507969
3,1984,01jul1984,11.392282,4.3466668,1984-07-01,31005,.74081296
4,1984,01oct1984,9.2624998,3.1133332,1984-10-01,31176,.55152392
1,1985,01jan1985,8.475111,4.3866668,1985-01-01,31428,.80831409
2,1985,01apr1985,7.9243956,3.28,1985-04-01,31649,.70319462
3,1985,01jul1985,7.9009781,3.3233333,1985-07-01,32058,1.2922999
4,1985,01oct1985,8.1044569,3.5699999,1985-10-01,32218,.49909538
1,1986,01jan1986,7.826889,2.98,1986-01-01,32453,.72940594
2,1986,01apr1986,6.9184613,3.0699999,1986-04-01,32533,.24651034
3,1986,01jul1986,6.2094564,3.1300001,1986-07-01,32779,.75615531
4,1986,01oct1986,6.2667389,3.2166667,1986-10-01,32870,.27761677
1,1987,01jan1987,6.2225556,4.1166668,1987-01-01,33036,.50501978
2,1987,01apr1987,6.6500001,3.8366666,1987-04-01,33336,.90810025
3,1987,01jul1987,6.8395653,3.6166666,1987-07-01,33556,.65994722
4,1987,01oct1987,6.9196739,2.9400001,1987-10-01,34025,1.3976636
1,1988,01jan1988,6.6659341,3.7766666,1988-01-01,34148,.36149889
2,1988,01apr1988,7.1549449,4.0266666,1988-04-01,34528,1.1128031
3,1988,01jul1988,7.9834785,4.7366667,1988-07-01,34637,.31568581
4,1988,01oct1988,8.4684782,3.4666667,1988-10-01,35008,1.0711089
1,1989,01jan1989,9.4464445,4.3666668,1989-01-01,35291,.80838668
2,1989,01apr1989,9.7257147,3.8433332,1989-04-01,35488,.55821598
3,1989,01jul1989,9.0835867,3.3766668,1989-07-01,35654,.46776375
4,1989,01oct1989,8.6144562,4.0766668,1989-10-01,35633,-.058899421
1,1990,01jan1990,8.2480001,4.3833332,1990-01-01,35941,.86436731
2,1990,01apr1990,8.2393408,3.8299999,1990-04-01,35968,.075123116
3,1990,01jul1990,8.1602173,4.1900001,1990-07-01,35850,-.32806939
4,1990,01oct1990,7.7433696,2.9066668,1990-10-01,35419,-1.2022315
1,1991,01jan1991,6.4304442,2.76,1991-01-01,35145,-.77359611
2,1991,01apr1991,5.8640661,3.0433333,1991-04-01,35305,.45525679
3,1991,01jul1991,5.6452174,2.8133333,1991-07-01,35348,.12179578
4,1991,01oct1991,4.8184781,3.3233333,1991-10-01,35381,.093357474
1,1992,01jan1992,4.0242858,2.7,1992-01-01,35694,.88465559
2,1992,01apr1992,3.774066,2.3033333,1992-04-01,35968,.767636
3,1992,01jul1992,3.2592392,2.0733333,1992-07-01,36184,.60053378
4,1992,01oct1992,3.0348914,2.98,1992-10-01,36420,.65222198
1,1993,01jan1993,3.0423334,2.5,1993-01-01,36381,-.10708402
2,1993,01apr1993,2.9972527,2.6666667,1993-04-01,36486,.28861219
3,1993,01jul1993,3.0577173,2.0666666,1993-07-01,36539,.1452612
4,1993,01oct1993,2.988261,2.3733332,1993-10-01,36909,1.0126166
1,1994,01jan1994,3.2093334,2.5699999,1994-01-01,37171,.70985395
2,1994,01apr1994,3.9380219,2.3366666,1994-04-01,37569,1.0707272
3,1994,01jul1994,4.4854345,1.9833333,1994-07-01,37669,.26617691
4,1994,01oct1994,5.1679349,2.0999999,1994-10-01,37980,.82561255
1,1995,01jan1995,5.8027778,2.5599999,1995-01-01,38008,.073723011
2,1995,01apr1995,6.0191207,2.0899999,1995-04-01,38033,.065775625
3,1995,01jul1995,5.797174,2.1133332,1995-07-01,38235,.53111774
4,1995,01oct1995,5.7194567,2.4433334,1995-10-01,38389,.40277234
1,1996,01jan1996,5.3709888,2.3366666,1996-01-01,38544,.40376151
2,1996,01apr1996,5.2439561,2.2266667,1996-04-01,39106,1.4580739
3,1996,01jul1996,5.3061957,2.4533334,1996-07-01,39340,.59837365
4,1996,01oct1996,5.2808695,2.5233333,1996-10-01,39629,.73462123
1,1997,01jan1997,5.2784443,2.0266666,1997-01-01,39825,.4945873
2,1997,01apr1997,5.5221977,1.8766667,1997-04-01,40311,1.2203389
3,1997,01jul1997,5.5346737,1.7333333,1997-07-01,40689,.93770933
4,1997,01oct1997,5.5073915,1.23,1997-10-01,40877,.46204135
1,1998,01jan1998,5.5193334,1.7033334,1998-01-01,41176,.73146266
2,1998,01apr1998,5.4974723,1.8266667,1998-04-01,41461,.69215077
3,1998,01jul1998,5.5316305,1.9533333,1998-07-01,41873,.99370492
4,1998,01oct1998,4.8605433,1.7166667,1998-10-01,42432,1.3349892
1,1999,01jan1999,4.7345557,1.4,1999-01-01,42663,.54440045
2,1999,01apr1999,4.7476921,1.8333334,1999-04-01,42897,.54848462
3,1999,01jul1999,5.0955434,2.1500001,1999-07-01,43299,.93712848
4,1999,01oct1999,5.3040218,2.0166667,1999-10-01,43919,1.4319037
1,2000,01jan2000,5.6776924,2.8333333,2000-01-01,43935,.036430702
2,2000,01apr2000,6.2719779,2.1300001,2000-04-01,44654,1.6365085
3,2000,01jul2000,6.5194564,2.5799999,2000-07-01,44586,-.15228198
4,2000,01oct2000,6.4748912,2.4100001,2000-10-01,44721,.30278563
1,2001,01jan2001,5.5970001,2.7166667,2001-01-01,44492,-.51206368
2,2001,01apr2001,4.3267035,2.8666666,2001-04-01,44623,.29443496
3,2001,01jul2001,3.5015218,2.0966666,2001-07-01,44366,-.5759362
4,2001,01oct2001,2.1304348,1.8233334,2001-10-01,44376,.022539783
1,2002,01jan2002,1.7328889,2.1100001,2002-01-01,44687,.70082927
2,2002,01apr2002,1.7515385,2.0699999,2002-04-01,44834,.32895473
3,2002,01jul2002,1.7408695,2.3166666,2002-07-01,44938,.23196681
4,2002,01oct2002,1.4442391,1.8933333,2002-10-01,44857,-.18024834
1,2003,01jan2003,1.2496667,1.7533333,2003-01-01,44996,.30987361
2,2003,01apr2003,1.2467033,.99333328,2003-04-01,45312,.70228463
3,2003,01jul2003,1.0168478,2.3433332,2003-07-01,45957,1.4234639
4,2003,01oct2003,.99673915,1.8233333,2003-10-01,46384,.92912942
1,2004,01jan2004,1.0018681,2.4333334,2004-01-01,46560,.37944117
2,2004,01apr2004,1.0113187,2.8666666,2004-04-01,46799,.51331615
3,2004,01jul2004,1.4307609,1.96,2004-07-01,47107,.65813375
4,2004,01oct2004,1.9498913,2.0166667,2004-10-01,47396,.61349696
1,2005,01jan2005,2.4690001,2.8266666,2005-01-01,47800,.85239261
2,2005,01apr2005,2.9417582,1.9366666,2005-04-01,47947,.30753139
3,2005,01jul2005,3.46,2.7466667,2005-07-01,48228,.5860638
4,2005,01oct2005,3.978261,2.4966667,2005-10-01,48381,.3172431
1,2006,01jan2006,4.4541111,2.3833332,2006-01-01,48856,.98179036
2,2006,01apr2006,4.9075823,3.3833332,2006-04-01,48891,.071639106
3,2006,01jul2006,5.245326,2.6500001,2006-07-01,48809,-.16772003
4,2006,01oct2006,5.2429347,2.1266668,2006-10-01,49065,.52449346
1,2007,01jan2007,5.2545557,3.0633333,2007-01-01,48987,-.15897278
2,2007,01apr2007,5.2524176,1.9933333,2007-04-01,49251,.5389185
3,2007,01jul2007,5.074348,2.4933333,2007-07-01,49455,.41420478
4,2007,01oct2007,4.4956522,2.97,2007-10-01,49506,.10312405
1,2008,01jan2008,3.1814287,2.3966665,2008-01-01,49060,-.9009009
2,2008,01apr2008,2.0847254,2.5366666,2008-04-01,49196,.27721158
3,2008,01jul2008,1.9406521,2.3833334,2008-07-01,48841,-.72160339
4,2008,01oct2008,.50532609,1.62,2008-10-01,47697,-2.3422945
1,2009,01jan2009,.18444444,2.2766666,2009-01-01,46941,-1.5850054
2,2009,01apr2009,.17802198,1.5966667,2009-04-01,46781,-.34085342
3,2009,01jul2009,.15434782,.83666664,2009-07-01,46826,.096192896
4,2009,01oct2009,.11836956,1.1266667,2009-10-01,47170,.73463458
1,2010,01jan2010,.13388889,.71666664,2010-01-01,47280,.23319906
2,2010,01apr2010,.19197802,.74666667,2010-04-01,47649,.78045684
3,2010,01jul2010,.18880434,1.1166667,2010-07-01,47875,.47430167
4,2010,01oct2010,.18956521,.95666665,2010-10-01,48079,.42610967
1,2011,01jan2011,.15455556,2.0900002,2011-01-01,47813,-.55325609
2,2011,01apr2011,.094615385,2.21,2011-04-01,48080,.55842555
3,2011,01jul2011,.083586954,2.0133333,2011-07-01,48085,.010399334
4,2011,01oct2011,.074347824,1.9266666,2011-10-01,48531,.92752415
1,2012,01jan2012,.10417583,2.0433333,2012-01-01,48772,.49658981
2,2012,01apr2012,.15230769,1.61,2012-04-01,48918,.29935208
3,2012,01jul2012,.14434783,1.5233333,2012-07-01,48881,-.075636782
4,2012,01oct2012,.16119565,1.3166666,2012-10-01,48796,-.17389169
1,2013,01jan2013,.14366667,1.8666667,2013-01-01,49064,.54922533
2,2013,01apr2013,.11582418,1.16,2013-04-01,49080,.032610469
3,2013,01jul2013,.085217394,1.6466666,2013-07-01,49361,.57253462
4,2013,01oct2013,.085543476,1.7233334,2013-10-01,49742,.77186441
1,2014,01jan2014,.072222225,1.74,2014-01-01,49544,-.39805394
2,2014,01apr2014,.090989016,1.8466667,2014-04-01,50019,.95874375
3,2014,01jul2014,.089130439,1.5666667,2014-07-01,50554,1.0695935
4,2014,01oct2014,.10130434,1.4400001,2014-10-01,50703,.29473433
1,2015,01jan2015,.11288889,1.5599999,2015-01-01,51025,.63507092
2,2015,01apr2015,.12560439,1.97,2015-04-01,51284,.50759429
3,2015,01jul2015,.13478261,1.67,2015-07-01,51389,.20474222
4,2015,01oct2015,.16108696,1.2866666,2015-10-01,51347,-.081729554
1,2016,01jan2016,.35978022,1.9466667,2016-01-01,51338,-.017527802
2,2016,01apr2016,.36934066,2.0699999,2016-04-01,51538,.38957497
3,2016,01jul2016,.39489132,1.8666667,2016-07-01,51791,.49089992
4,2016,01oct2016,.44815218,1.7633333,2016-10-01,51916,.24135467
