year,quarter,lfs,lfu,hs,hu,NWs,NWu,uns,unu,ns,nu,sp
1979,1,16628051,72462896,40.451656,37.609947,8.0505972,5.4256344,3.1725788,8.2090521,3.7001076,3.6272686,1.4838076
1979,2,16306241,73032568,40.545982,37.867908,8.2438669,5.5122375,3.0119891,7.2556248,3.7024367,3.634104,1.4955573
1979,3,16364172,74623352,40.95702,38.340168,8.2762871,5.6102867,3.9453204,7.0632768,3.7125232,3.6464982,1.4751986
1979,4,17150132,73997560,40.307838,37.686161,8.476038,5.7651873,2.9112785,7.1945014,3.6965458,3.629293,1.4702103
1980,1,17347298,73242072,40.140591,37.554287,8.7132378,5.8883686,2.8262577,8.7611799,3.6923881,3.6257875,1.4797372
1980,2,16912250,74445712,40.124619,37.533291,8.8889694,5.9483843,3.2767115,9.4322033,3.6919901,3.6252284,1.4943502
1980,3,17192198,75350920,40.646049,37.934299,9.0407238,6.1042676,4.2106934,9.695775,3.7049017,3.6358557,1.4810498
1980,4,17856394,74200640,39.98267,37.345108,9.3046818,6.2111721,3.1948571,9.2670889,3.688446,3.6202018,1.4980557
1981,1,18207410,75778336,40.117531,37.267982,9.6595221,6.4217348,3.2405844,10.527386,3.6918135,3.6181345,1.504192
1981,2,17953418,77379880,40.040588,37.44096,9.6406088,6.4492517,3.6614335,9.5531359,3.6898937,3.6227653,1.4948415
1981,3,18031848,77840144,40.389763,37.973564,9.8186512,6.5633912,4.2610011,9.3536501,3.6985765,3.6368902,1.4959723
1981,4,19245082,75995592,39.859631,37.283455,10.098586,6.678134,3.561928,10.675744,3.685364,3.6185496,1.5121868
1982,1,18788988,76579048,39.994614,37.063648,10.10291,6.8308849,3.658453,12.498165,3.6887448,3.6126366,1.4790046
1982,2,19263022,76866816,39.918179,37.081585,10.39691,6.9151845,4.5484796,12.39654,3.6868317,3.6131206,1.5034899
1982,3,19103154,78628056,40.157604,37.533985,10.469902,6.9045649,4.9052119,12.770658,3.6928117,3.6252468,1.5163739
1982,4,19896886,76649864,39.580162,36.898666,10.598591,6.9692593,4.4143605,13.513741,3.678328,3.6081755,1.5207629
1983,1,20063908,76240232,39.633823,36.763699,10.616389,7.0566397,4.5732555,14.642917,3.679683,3.604511,1.5044539
1983,2,20289220,76581680,39.981644,36.946014,10.745317,7.1329098,5.0325842,13.506705,3.6884205,3.6094577,1.5064423
1983,3,19819082,79272664,40.526463,37.477703,10.875316,7.1416554,4.8751378,12.159934,3.7019551,3.6237462,1.5228003
1983,4,20860886,76493160,40.049725,37.071522,11.039814,7.2197223,3.9353971,11.044684,3.6901219,3.612849,1.5291189
1984,1,20724548,76592344,40.218666,37.061295,11.141038,7.3244972,3.9516437,11.085288,3.6943312,3.6125731,1.5210652
1984,2,21088110,77978400,40.388805,37.347919,11.331958,7.3389106,3.6593335,9.9513626,3.6985526,3.6202772,1.5440927
1984,3,20912762,79645680,40.763241,37.796604,11.351619,7.4219823,4.1534162,9.5007935,3.7077806,3.6322193,1.5294591
1984,4,21545070,78037192,40.293743,37.511692,11.571341,7.497879,3.2533345,9.5801287,3.6961963,3.6246526,1.5432818
1985,1,21174428,78788952,40.443817,37.228146,11.615602,7.5712342,3.7380493,10.303285,3.6999137,3.6170652,1.5341754
1985,2,21989890,78364336,40.606728,37.54427,11.869823,7.6679006,3.2543547,9.6863394,3.7039337,3.6255207,1.5479885
1985,3,21881150,80727064,40.899883,37.985271,12.043354,7.6708336,3.9561589,9.3796206,3.7111273,3.6371984,1.5700189
1985,4,22469614,79037040,40.275974,37.410881,11.899741,7.7271156,2.7622838,9.2768736,3.695755,3.6219616,1.5399978
1986,1,22436498,79549144,40.282555,37.251251,12.219501,7.8034244,3.0155556,10.122488,3.6959186,3.6176856,1.5659153
1986,2,22624776,80604648,40.577301,37.453518,12.24026,7.9061179,3.5273573,9.4277792,3.7032089,3.6231008,1.5482011
1986,3,22450316,82223736,41.003586,37.94294,12.409902,7.867146,3.8021874,9.1296396,3.7136595,3.6360834,1.5774337
1986,4,23307200,80386744,40.441986,37.378654,12.361384,8.0191746,3.1611145,8.680337,3.6998684,3.6210997,1.5414784
1987,1,23536180,79949712,40.766621,37.323532,12.637093,8.0455532,3.2264843,9.4937449,3.7078636,3.6196239,1.5706928
1987,2,23166908,81515640,40.667469,37.616608,12.785289,8.1009455,3.4577532,8.2716846,3.7054286,3.6274457,1.5782465
1987,3,23169912,82795600,41.302666,38.043098,12.717937,8.1483507,3.2776978,7.6454554,3.720927,3.6387198,1.5607989
